Rank,Release Group,Worldwide,Domestic,%,Foreign,%
766,I Lost Albert 2019 Re-release,"$2,354","$2,354",100%,-,-
767,A German Youth,"$2,343","$2,343",100%,-,-
768,Serendipity,"$2,298","$2,298",100%,-,-
769,Jihadists,"$2,104","$2,104",100%,-,-
770,Jimi Hendrix Electric Church,"$1,818",-,-,"$1,818",100%
771,Game Day,"$1,624","$1,624",100%,-,-
772,American Playhouse: The Killing Floor,"$1,583","$1,583",100%,-,-
773,The Hours and Times,"$1,273","$1,273",100%,-,-
774,The Wolf Hour,"$1,255",-,-,"$1,255",100%
775,A Fish in the Bathtub 2019 re-release,"$1,237","$1,237",100%,-,-
776,The Untold Story,$790,$790,100%,-,-
777,The Portal,$685,-,-,$685,100%
