Rank,Release Group,Worldwide,Domestic,%,Foreign,%
429,You Are Here: A Come From Away Story,"$318,885","$318,885",100%,-,-
430,Ask Dr. Ruth,"$318,230","$297,195",93.4%,"$21,035",6.6%
431,Josh Groban Bridges Live from Madison Square Garden,"$315,173","$315,173",100%,-,-
432,Plácido Domingo Gala,"$311,246","$52,502",16.9%,"$258,744",83.1%
433,The Third Wife,"$305,755","$84,933",27.8%,"$220,822",72.2%
434,The Kingmaker,"$304,840","$122,587",40.2%,"$182,253",59.8%
435,Cliffs of Freedom,"$300,842","$72,476",24.1%,"$228,366",75.9%
436,Shakira in Concert: El Dorado World Tour,"$294,677","$271,586",92.2%,"$23,091",7.8%
437,The Giant Spider Invasion,"$293,053","$293,053",100%,-,-
438,The Godfather: Part II 45th Anniversary,"$291,754","$291,754",100%,-,-
439,The Zoya Factor,"$289,631","$128,831",44.5%,"$160,800",55.5%
440,Saga of Tanya the Evil - The Movie,"$288,460","$288,460",100%,-,-
441,Khalid: Free Spirit,"$284,229","$284,229",100%,-,-
442,Mike Wallace Is Here,"$281,245","$281,245",100%,-,-
443,Octaman,"$280,710","$280,710",100%,-,-
444,Bolshoi Ballet: The Golden Age,"$277,666","$171,916",61.9%,"$105,750",38.1%
445,See You Soon,"$277,126",-,-,"$277,126",100%
446,True Grit 2019 Re-release,"$276,418","$276,418",100%,-,-
447,Slayer: The Repentless Killogy,"$272,874","$268,727",98.5%,"$4,147",1.5%
448,One Child Nation,"$271,841","$270,128",99.4%,"$1,713",0.6%
449,The Tale of The Princess Kaguya 2019 Re-release,"$271,681","$271,681",100%,-,-
450,Luzia: Cirque du Soleil in Cinema,"$265,673","$265,673",100%,-,-
451,Out of Liberty,"$265,279","$265,279",100%,-,-
452,Asbury Park: Riot Redemption Rock 'n Roll,"$264,983","$167,684",63.3%,"$97,299",36.7%
453,Her Smell,"$260,481","$255,599",98.1%,"$4,882",1.9%
454,Star Raiders: The Adventures of Saber Raine,"$260,234","$260,234",100%,-,-
455,The Cave,"$258,921","$62,625",24.2%,"$196,296",75.8%
456,When Harry Met Sally... 30th Anniversary,"$252,320","$252,320",100%,-,-
457,I Got the Hook Up 2,"$252,293","$252,293",100%,-,-
458,Canal Street,"$251,917","$251,917",100%,-,-
459,The Twilight Zone: A 60th Anniversary Celebration,"$248,514","$248,514",100%,-,-
460,Doctor Who: The End of Time: Part One,"$247,798","$247,798",100%,-,-
461,Friendsgiving Day #1,"$246,168","$246,168",100%,-,-
462,Play the Flute,"$245,943","$245,943",100%,-,-
463,American Woman,"$245,416","$236,637",96.4%,"$8,779",3.6%
464,Out of Blue,"$242,847","$18,779",7.7%,"$224,068",92.3%
465,Ophelia,"$242,115","$50,722",20.9%,"$191,393",79.1%
466,311 Enlarged to Show Detail 3,"$238,791","$238,791",100%,-,-
467,India's Most Wanted,"$235,351","$176,858",75.1%,"$58,493",24.9%
468,Varda by Agnès,"$235,262","$160,765",68.3%,"$74,497",31.7%
469,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,"$232,973","$232,973",100%,-,-
470,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,"$230,703","$230,703",100%,-,-
471,The Last Tree,"$228,676","$10,128",4.4%,"$218,548",95.6%
472,Mine 9,"$226,421","$226,421",100%,-,-
473,Millennium Actress 2019 Re-release,"$225,250","$225,250",100%,-,-
474,Extra Ordinary,"$223,898","$164,346",73.4%,"$59,552",26.6%
475,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,"$223,858","$223,858",100%,-,-
476,Never Surrender: A Galaxy Quest Documentary,"$222,971","$222,971",100%,-,-
477,The Karate Kid 2019 Re-release,"$215,447","$215,447",100%,-,-
478,Hamlet 2019 Re-release,"$214,578","$214,578",100%,-,-
479,Tigers Are Not Afraid 2019 Re-release,"$210,138","$175,559",83.5%,"$34,579",16.5%
480,"Faith, Hope & Love","$210,091","$210,091",100%,-,-
481,Kathy Griffin: A Hell of a Story,"$208,907","$208,907",100%,-,-
482,Batman 2019 Re-release,"$207,901","$159,419",76.7%,"$48,482",23.3%
483,The Iron Orchard,"$204,881","$204,881",100%,-,-
484,Working Woman,"$204,727","$64,048",31.3%,"$140,679",68.7%
485,Hesburgh,"$204,709","$204,709",100%,-,-
486,Forrest Gump 2019 Re-release,"$203,088","$203,088",100%,-,-
487,Blink of an Eye,"$201,874","$201,874",100%,-,-
488,Zombi Child,"$200,909","$25,878",12.9%,"$175,031",87.1%
489,Friendsgiving Day #2,"$198,869","$198,869",100%,-,-
490,Little Joe,"$198,674","$23,862",12%,"$174,812",88%
491,The Warrior Queen of Jhansi,"$198,544","$177,289",89.3%,"$21,255",10.7%
492,Family,"$194,601","$194,601",100%,-,-
493,Mr. Klein,"$193,028","$193,028",100%,-,-
494,The Divine Plan,"$190,031","$190,031",100%,-,-
495,Britt-Marie Was Here,"$185,794","$36,549",19.7%,"$149,245",80.3%
496,Buñuel in the Labyrinth of the Turtles,"$185,675","$36,205",19.5%,"$149,470",80.5%
497,To Dust,"$184,495","$184,495",100%,-,-
498,The River and the Wall,"$183,602","$183,602",100%,-,-
499,Giant Little Ones,"$181,507","$181,507",100%,-,-
500,Raymonda: Bolshoi Ballet,"$181,361","$181,361",100%,-,-
501,Bolshoi Ballet: Raymonda domestic,"$181,361","$181,361",100%,-,-
502,Rafiki,"$181,316","$137,968",76.1%,"$43,348",23.9%
503,Walking on Water,"$178,119","$102,140",57.3%,"$75,979",42.7%
504,Modest Heroes,"$178,027","$178,027",100%,-,-
505,"Iyengar: The Man, Yoga, and the Student's Journey","$176,387","$176,387",100%,-,-
506,Them That Follow,"$172,952","$159,218",92.1%,"$13,734",7.9%
507,Little Woods,"$171,912","$150,010",87.3%,"$21,902",12.7%
508,Palau the Movie,"$171,155","$134,696",78.7%,"$36,459",21.3%
509,Be Natural: The Untold Story of Alice Guy-Blaché,"$168,169","$115,804",68.9%,"$52,365",31.1%
510,Bright Ones,"$165,627","$165,627",100%,-,-
511,2001: A Space Odyssey 2019 Re-release,"$165,494","$135,370",81.8%,"$30,124",18.2%
512,The Chambermaid,"$164,531","$86,422",52.5%,"$78,109",47.5%
513,Saint Judy,"$164,336","$78,935",48%,"$85,401",52%
514,Halston,"$163,446","$151,991",93%,"$11,455",7%
515,"Diana Ross: Her Life, Love and Legacy","$160,968","$160,968",100%,-,-
516,The Body,"$159,317","$68,196",42.8%,"$91,121",57.2%
517,Money,"$155,732","$155,732",100%,-,-
518,Before You Know It,"$151,507","$151,507",100%,-,-
519,Jay Myself,"$151,331","$151,331",100%,-,-
520,Glory 2019 Re-release,"$150,801","$150,801",100%,-,-
521,Piercing,"$149,211","$15,856",10.6%,"$133,355",89.4%
522,Trial by Fire,"$148,504","$148,504",100%,-,-
523,War and Peace,"$148,503","$148,503",100%,-,-
524,Driven,"$147,172",-,-,"$147,172",100%
525,Citizen K,"$145,941","$120,411",82.5%,"$25,530",17.5%
526,Framing John DeLorean,"$145,625","$145,625",100%,-,-
527,Doctor Who: Logopolis,"$143,248","$143,248",100%,-,-
528,Branagh Theatre Live: The Winter's Tale,"$141,143","$141,143",100%,-,-
529,Canelo vs. Kovalev,"$140,820","$140,820",100%,-,-
530,The Cordillera of Dreams,"$140,465","$20,943",14.9%,"$119,522",85.1%
531,Wilder vs. Ortiz,"$139,207","$139,207",100%,-,-
532,Who Will Write Our History,"$138,868","$138,039",99.4%,$829,0.6%
533,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,"$137,888","$137,888",100%,-,-
534,Made in Abyss: Journey's Dawn,"$135,821","$134,047",98.7%,"$1,774",1.3%
535,Skin,"$135,562",-,-,"$135,562",100%
536,Sonchiriya,"$135,413","$86,765",64.1%,"$48,648",35.9%
537,The Other Story,"$135,191","$135,191",100%,-,-
538,The Wind,"$130,974","$28,252",21.6%,"$102,722",78.4%
539,Mister America,"$130,897","$130,897",100%,-,-
540,Section 375,"$129,916",-,-,"$129,916",100%
541,Rosie,"$126,262","$6,839",5.4%,"$119,423",94.6%
542,Paris Is Burning 2019 Re-release,"$125,677","$125,677",100%,-,-
543,This Changes Everything,"$125,348","$64,988",51.8%,"$60,360",48.2%
544,Mary Magdalene 2019 Re-release,"$124,741","$124,741",100%,-,-
545,A Tuba to Cuba,"$124,592","$121,772",97.7%,"$2,820",2.3%
546,Downtown 81 2019 Re-release,"$123,387","$123,387",100%,-,-
547,Easy Rider 2019 Re-release,"$123,276","$123,276",100%,-,-
548,Tremors,"$121,813","$23,911",19.6%,"$97,902",80.4%
549,Avant qu'on explose,"$119,894","$119,894",100%,-,-
550,Mob Psycho 100,"$115,766","$115,766",100%,-,-
551,Sympathy for the Devil,"$114,301","$51,150",44.8%,"$63,151",55.2%
552,The Woman Who Loves Giraffes,"$113,858","$113,858",100%,-,-
553,Police Story,"$113,164","$113,164",100%,-,-
554,Babylon,"$109,749","$109,749",100%,-,-
555,The Brink,"$106,057","$106,057",100%,-,-
556,Cold Case Hammarskjöld,"$104,965","$104,965",100%,-,-
557,Hotel by the River,"$101,879","$28,354",27.8%,"$73,525",72.2%
558,Those Who Remained,"$101,737",-,-,"$101,737",100%
559,QT8: The First Eight,"$101,346","$51,896",51.2%,"$49,450",48.8%
560,Papi Chulo,"$99,546","$84,703",85.1%,"$14,843",14.9%
561,Heavy Water,"$99,503","$55,446",55.7%,"$44,057",44.3%
562,High Strung Free Dance 2019 Re-release,"$98,481","$83,891",85.2%,"$14,590",14.8%
563,Charlie Says,"$98,240","$40,685",41.4%,"$57,555",58.6%
564,Prassthanam,"$97,204","$19,984",20.6%,"$77,220",79.4%
565,Little Monsters,"$97,111",-,-,"$97,111",100%
566,A Bigger Splash 2019 Re-release,"$95,826","$95,826",100%,-,-
567,Saand Ki Aankh,"$95,724",-,-,"$95,724",100%
568,The Final Wish,"$95,215","$25,183",26.4%,"$70,032",73.6%
569,Apparition,"$94,613",-,-,"$94,613",100%
570,Mapplethorpe,"$91,002","$91,002",100%,-,-
571,Loopers: The Caddie's Long Walk,"$90,679","$90,679",100%,-,-
572,The Lumber Baron,"$88,336","$88,336",100%,-,-
573,Jim Allison: Breakthrough,"$87,984","$87,984",100%,-,-
574,ECCO,"$86,858","$86,858",100%,-,-
575,Vault,"$86,741","$29,491",34%,"$57,250",66%
576,National Theater Live: Cyrano de Bergerac,"$86,300","$86,300",100%,-,-
577,Skid Row Marathon,"$84,997","$84,997",100%,-,-
578,Woodstock,"$84,440","$84,440",100%,-,-
579,The Disappearance of My Mother,"$83,930","$24,951",29.7%,"$58,979",70.3%
580,The Kindness of Strangers,"$83,042","$2,705",3.3%,"$80,337",96.7%
581,Prey,"$82,258",-,-,"$82,258",100%
582,Kind Hearts and Coronets 2019 Re-release,"$80,795","$35,948",44.5%,"$44,847",55.5%
583,Batman Returns 2019 Re-release,"$80,699","$70,642",87.5%,"$10,057",12.5%
584,Ms. Purple,"$80,657","$80,657",100%,-,-
585,Armstrong,"$80,169","$19,740",24.6%,"$60,429",75.4%
586,End of the Century,"$79,607","$66,309",83.3%,"$13,298",16.7%
587,Christ Stopped at Eboli,"$78,736","$78,736",100%,-,-
588,Fast Color,"$76,916","$76,916",100%,-,-
589,Greener Grass,"$76,045","$51,456",67.7%,"$24,589",32.3%
590,Made in Bangladesh,"$74,432","$5,322",7.2%,"$69,110",92.8%
591,5B,"$72,968","$72,968",100%,-,-
592,Free Trip to Egypt 2019 Re-release,"$71,087","$71,087",100%,-,-
593,The White Sheik 2019 re-release,"$68,940","$50,850",73.8%,"$18,090",26.2%
594,Last Year at Marienbad 2019 Re-release,"$68,402","$63,425",92.7%,"$4,977",7.3%
595,¡He matado a mi marido!,"$68,017","$45,777",67.3%,"$22,240",32.7%
596,Being Frank,"$67,343","$67,343",100%,-,-
597,The Jesus Rolls,"$64,648","$18,169",28.1%,"$46,479",71.9%
598,Making Waves: The Art of Cinematic Sound,"$63,998","$53,144",83%,"$10,854",17%
599,"Love, Antosha","$62,900","$50,168",79.8%,"$12,732",20.2%
600,The Mountain,"$61,035","$61,035",100%,-,-
601,John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795","$59,795",100%,-,-
602,Mickey and the Bear,"$57,188","$57,188",100%,-,-
603,Notebook,"$56,166",-,-,"$56,166",100%
