Rank,Release Group,Worldwide,Domestic,%,Foreign,%
72,Made in Italy,"$1,877,838","$101,339",5.4%,"$1,776,499",94.6%
73,The Outpost,"$1,614,318",-,-,"$1,614,318",100%
74,Relic,"$1,515,433","$1,047,083",69.1%,"$468,350",30.9%
75,Greed,"$1,460,431","$355,308",24.3%,"$1,105,123",75.7%
76,Sarileru Neekevvaru,"$1,366,335","$821,000",60.1%,"$545,335",39.9%
77,National Theater Live: Cyrano de Bergerac 2020 Re-release,"$1,354,584","$198,352",14.6%,"$1,156,232",85.4%
78,The Assistant,"$1,338,220","$1,100,313",82.2%,"$237,907",17.8%
79,The Goonies 2020 Re-release,"$1,236,438","$825,000",66.7%,"$411,438",33.3%
80,The Perfect Candidate,"$1,233,971",-,-,"$1,233,971",100%
81,Chal Mera Putt 2,"$1,070,997","$445,000",41.6%,"$625,997",58.4%
82,Misbehaviour,"$1,051,515",-,-,"$1,051,515",100%
83,Becky,"$1,045,873","$1,003,700",96%,"$42,173",4%
84,Color Out of Space,"$1,023,510","$765,561",74.8%,"$257,949",25.2%
85,Savage,"$980,397",-,-,"$980,397",100%
86,The Tax Collector,"$942,666","$942,666",100%,-,-
87,The Vigil,"$935,484",-,-,"$935,484",100%
88,Riverdance 25th Anniversary Show,"$919,732","$81,879",8.9%,"$837,853",91.1%
89,Mafia Inc,"$889,863","$889,863",100%,-,-
90,Cut Throat City,"$841,466","$832,432",98.9%,"$9,034",1.1%
91,Babyteeth,"$797,095","$4,507",0.6%,"$792,588",99.4%
92,Shortcut,"$758,968","$758,968",100%,-,-
93,Jaws 2020 Re-release,"$758,367","$758,300",100%,$67,<0.1%
94,Hope Gap,"$713,789","$104,732",14.7%,"$609,057",85.3%
95,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
96,Black Water: Abyss,"$628,683",-,-,"$628,683",100%
97,Ghostbusters 2020 Re-release,"$620,883","$605,000",97.4%,"$15,883",2.6%
98,The Last Shift,"$611,766","$611,766",100%,-,-
99,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
100,Palm Springs,"$566,748","$164,000",28.9%,"$402,748",71.1%
101,Followed,"$548,608","$538,179",98.1%,"$10,429",1.9%
102,Beauty and the Beast 2020 Re-release,"$543,260","$467,000",86%,"$76,260",14%
103,Once Were Brothers: Robbie Robertson and the Band,"$536,534","$449,561",83.8%,"$86,973",16.2%
104,Possessor Uncut,"$536,433","$536,433",100%,-,-
105,Vanguard,"$517,413",-,-,"$517,413",100%
106,The Big Ugly,"$515,399","$514,107",99.7%,"$1,292",0.3%
107,Black Panther 2020 Re-release,"$513,326","$367,000",71.5%,"$146,326",28.5%
108,The Burnt Orange Heresy,"$499,391","$144,201",28.9%,"$355,190",71.1%
109,Kajillionaire,"$498,055","$498,055",100%,-,-
110,Alone,"$492,016","$464,979",94.5%,"$27,037",5.5%
111,True History of the Kelly Gang,"$467,198","$33,817",7.2%,"$433,381",92.8%
112,Inside Out 2020 Re-release,"$460,176","$460,000",100%,$176,<0.1%
113,The Nest,"$441,602","$136,585",30.9%,"$305,017",69.1%
114,Burden,"$439,139","$139,270",31.7%,"$299,869",68.3%
115,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
116,The Shining 40th Anniversary,"$433,807",-,-,"$433,807",100%
117,Iron Man 2020 Re-release,"$430,000","$430,000",100%,-,-
118,Infamous,"$429,148","$429,148",100%,-,-
119,The Climb,"$413,161",-,-,"$413,161",100%
120,Back to the Future 2020 Re-release,"$407,977","$247,000",60.5%,"$160,977",39.5%
121,Tulsa,"$399,283","$399,283",100%,-,-
122,Summerland,"$380,951","$58,498",15.4%,"$322,453",84.6%
123,She Dies Tomorrow,"$360,324","$360,324",100%,-,-
124,Saint Maud,"$345,054",-,-,"$345,054",100%
125,Fatima,"$323,987",-,-,"$323,987",100%
126,Bohemian Rhapsody 2020 Re-release,"$308,715","$240,000",77.7%,"$68,715",22.3%
127,Gremlins 2020 Re-release,"$295,159","$295,000",99.9%,$159,<0.1%
128,The Call,"$285,336","$285,336",100%,-,-
129,Resistance,"$282,228","$7,464",2.6%,"$274,764",97.4%
130,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
131,Swallow,"$274,259","$33,419",12.2%,"$240,840",87.8%
132,Honest Thief,"$268,515",-,-,"$268,515",100%
133,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
134,Never Rarely Sometimes Always,"$265,808","$16,565",6.2%,"$249,243",93.8%
135,Save Yourselves!,"$262,062","$262,062",100%,-,-
136,Archive,"$242,195","$139,593",57.6%,"$102,602",42.4%
137,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
138,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
139,The Trip to Greece,"$233,014","$8,340",3.6%,"$224,674",96.4%
140,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
141,The Secrets We Keep,"$219,001","$207,928",94.9%,"$11,073",5.1%
142,Tesla,"$211,574","$92,835",43.9%,"$118,739",56.1%
143,Sputnik,"$203,416","$18,853",9.3%,"$184,563",90.7%
144,Yellow Rose,"$191,657","$191,657",100%,-,-
145,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
